"Name","Catégorie","Quantité","Statut","Spécification","Prix unitaire (€)","Lien","Notes"
"74AHCT1G125 — buffer de niveau RGB","LEDs","1","À confirmer","Buffer logique AHCT simple, alimentation 5 V, entrée compatible avec le GPIO 3,3 V du Pico, boîtier SOT-23-5. Conversion de niveau de LED_DATA avant la chaîne SK6812MINI-E.","","","U2. Connexions validées : pin 1 /OE = GND, pin 2 A = LED_DATA, pin 3 = GND, pin 4 Y → R2 470 Ω → D22 DIN, pin 5 VCC = LED_5V. Footprint KiCad : Package_TO_SOT_SMD:SOT-23-5. Sélectionner une référence 74AHCT1G125 exacte et vérifier son brochage fabricant avant achat."
"Condensateur réservoir 470 µF — LED_5V","Passifs","1","À confirmer","470 µF / 10 V, électrolytique radial THT. Réservoir entre LED_5V et GND à l’entrée de la chaîne RGB.","","","C4 présent dans le schéma et importé dans le PCB au commit 7da4129. Footprint KiCad : Capacitor_THT:CP_Radial_D8.0mm_P3.50mm. À placer près de l’arrivée LED_5V ; référence fournisseur et dimensions réelles à confirmer avant fabrication."
"Résistance 10 kΩ 0805 — pull-down RGB","Passifs","1","À confirmer","10 kΩ, ±1 %, ≥ 0,1 W, boîtier 0805 / 2012 metric. Pull-down entre LED_DATA / U2 pin 2 et GND.","","","R3 présent dans le schéma et importé dans le PCB au commit 7da4129. Footprint KiCad : Resistor_SMD:R_0805_2012Metric. Même valeur que R1 mais boîtier différent ; à placer près de l’entrée de U2. Fournisseur exact à sélectionner avant achat."
"Résistance 470 Ω 0805 — données RGB","Passifs","1","À confirmer","470 Ω, ±1 %, ≥ 0,1 W, boîtier 0805 / 2012 metric. Résistance série entre la sortie du 74AHCT1G125 et le DIN de la première LED.","","","R2 présent dans le schéma et importé dans le PCB au commit 7da4129. Footprint KiCad : Resistor_SMD:R_0805_2012Metric. À placer entre U2 et D22 ; fournisseur exact à sélectionner avant achat."
"Condensateurs céramique 100 nF 0805 — RGB","Passifs","21","À confirmer","100 nF, X7R ou X5R, ≥ 10 V, boîtier 0805 / 2012 metric. 20 condensateurs locaux pour les SK6812MINI-E et 1 condensateur local pour U2 74AHCT1G125.","","","21 condensateurs présents dans le schéma et importés dans le PCB au commit 7da4129 : 20 au plus près des LED et C24 au plus près de U2. Footprint KiCad : Capacitor_SMD:C_0805_2012Metric. Référence CMS volontairement séparée des C1/C3 100 nF THT ; fournisseur exact à sélectionner avant achat."
"Pull-ups I²C optionnelles — 4,7 kΩ","Passifs","2","À confirmer","Deux résistances 4,7 kΩ entre SDA/SCL et +3V3, prévues comme empreintes optionnelles/DNP.","","","Ne peupler qu’après vérification des pull-ups déjà présentes sur le module OLED exact et calcul de la résistance équivalente du bus."
"Sockets Pico 2 H — 1×20 femelles, 2,54 mm","Interface","2","À confirmer","Deux sockets femelles droits 1×20, pas 2,54 mm, pour recevoir les headers mâles du Pico 2 H.","","","Footprint XY candidat : Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical, pas 2,54 mm, 48,26 mm entre pins extrêmes. Il faut encore figer une référence fabricant pour la hauteur, la rétention, les queues à souder et l’empilage Pico/USB."
"J2 — socket femelle 1×4, 2,54 mm, THT","Interface","1","À confirmer","Socket femelle droit 1×4, pas 2,54 mm, à souder sur le PCB principal.","","","À acheter après vérification de l’ordre physique et de la géométrie du header de l’OLED exact."
"J1 — Raspberry Pi GPIO 2×20 female-to-male stacking header","Interface","0","Plus tard","ARCHIVE — ancien header Pi 4 HAT, absent de la V0 Pico.","","https://fr.aliexpress.com/item/1005010308099092.html","Ne pas acheter pour la V0. Le Pi 4 appartient à une reconstruction V2 séparée ; le schéma V0 remplace J1 par le Pico 2 H."
"Supports DIP-28 narrow, 7,62 mm, THT","Interface","1","À acheter","1 support DIP-28 narrow / 7,62 mm pour U1 uniquement.","","https://fr.aliexpress.com/item/1005006919421431.html","La V0 Pico n’utilise qu’un MCP23017. Le second support de l’ancienne architecture U1/U2 n’est plus requis."
"Résistances métal-film 10 kΩ, 1/4 W, 1 %, THT","Passifs","1","À acheter","10 kΩ, 0,25 W, ±1 %, métal-film axial. R1 : pull-up RESET de l’unique MCP23017.","0.0155","https://fr.aliexpress.com/item/1005003923602966.html","Empreinte candidate robuste : Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal. Mesurer au reçu longueur de corps et diamètre de patte avant fabrication."
"Condensateurs céramique 100 nF, 50 V, THT","Passifs","2","À acheter","100 nF / 0,1 µF / code 104, 50 V, condensateur céramique monolithique THT, entraxe annoncé 5 mm. C1 + C3.","","https://fr.aliexpress.com/item/1005011747293156.html","Référence AliExpress retenue le 31 juillet 2026 : item 1005011747293156, variante 104 / 100 nF. L’image produit annonce 5 mm entre les pattes. Footprint KiCad assigné provisoirement à C1 et C3 : Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm. Vérifier les dimensions du corps et le diamètre des pattes à réception avant fabrication."
"EC11 — encodeur rotatif 20 positions, poussoir, axe 20 mm","Interface","7","À acheter","Variante validée : « G 20mm Plum handle ». EC11, 20 positions / 360°, 5 pins, bouton-poussoir intégré, fixation façade par M7×0,75 avec écrou/rondelle. Footprint cible : Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm.","0.6","https://fr.aliexpress.com/item/1005007643925677.html","Empreinte candidate confirmée par famille ALPS EC11E : Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm. L’annonce générique TLZWLA ne fournit pas le plan coté des cinq pattes ni des deux pattes mécaniques : mesurer un exemplaire ou obtenir une vue dessous cotée avant de commander le PCB."
"LEOBOG Reaper Linear Switch (5-pin PCB mount)","Touches MX","21","À acheter","MX-compatible, linéaire, 5 pins PCB mount, 45 gf, pré-lubrifié. Footprint prévu : Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB.","","https://fr.aliexpress.com/item/1005007927090867.html","Footprint candidat pertinent : Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB. Le Reaper est bien 5-pin et MX-compatible, mais LEOBOG ne publie pas le dessin du dessous : valider les 2 contacts + 3 ergots sur un exemplaire ou une photo 1:1 avant fabrication."
"Platine Kitronik Pico Pin Breakout 5341","Prototype","1","Plus tard","Kitronik 5341, 65 × 37 × 11,2 mm, 4 trous Ø3,3 mm, compatible Pico 2H","4.8","https://www.gotronic.fr/art-platine-de-connexion-5341-35506.htm","Option de prototypage uniquement. La V0 vise désormais un PCB custom portant le Pico 2 H sur deux sockets 1×20 ; ne pas acheter cette platine avant décision mécanique contraire."
"Nappes Dupont M/M et M/F","Prototype","2","Plus tard","BBJ10 M/M code 12320 + BBJ11 M/F code 12321, 40 fils × 20 cm","","","Accessoire de breadboard/prototype, pas un élément obligatoire du PCB V0. Le câblage final sera sur PCB custom."
"Alimentation officielle Pi 4 / 400 — USB-C 5,1 V 3 A","Cœur audio","1","À confirmer","15,3 W, USB-C, câble 1,5 m, prise UE","9.6","https://www.kubii.com/fr/alimentations/2678-alimentation-officielle-153w-usb-c-pour-raspberry-pi-4-400-3272496300002.html","N’acheter que si Arthur n’a pas déjà une alimentation Pi 4 fiable. Kubii : livraison rapide annoncée ; choisir variante noire + UE dans le panier."
"Raspberry Pi 4 — déjà possédé","Cœur audio","1","Plus tard","SBC Linux 64-bit, GPIO, USB, microSD et jack audio analogique","0","https://github.com/arthurkowskii/AKOR_01","Déjà possédé, mais exclu de la V0. Réservé à une reconstruction V2 autonome séparée avec Linux, moteur audio et DAC. Ne pas ajouter de header Pi au PCB V0."
"MCP23017-E/SP — expandeur I²C DIP-28","Interface","1","À acheter","MCP23017-E/SP DIP-28, 3,3 V, adresse U1 = 0x20. Un seul expandeur dans la V0 Pico.","2.99","https://fr.aliexpress.com/item/1005009219211233.html","U1 gère 5 rangées en sortie, 5 colonnes et 6 poussoirs en entrée. GPA7/GPB7 sont réservées aux sorties. U2 est supprimé."
"Pico Audio Pack PIM544 — DAC + casque","Cœur audio","1","Plus tard","PCM5100A + ampli casque PAM8908JER, I2S, jack casque et line out 3,5 mm","17.95","https://www.kubii.com/fr/hat-dac-modules/3227-dac-stereo-pico-audio-pack-0769894017098.html","Absent de la V0 contrôleur MIDI. Le synthétiseur V2 Raspberry Pi 4/Linux sera reconstruit séparément ; son DAC sera choisi pendant la conception V2, sans présumer que PIM544 sera utilisé."
"Raspberry Pi Pico 2H SC1632 — RP2350","Prototype","1","À acheter","Pico 2H SC1632 / RP2350 avec connecteurs mâles soudés","7.95","https://www.gotronic.fr/art-carte-pi-pico-2h-48364.htm","Carte principale verrouillée de la V0 USB-MIDI. Les 14 lignes A/B des 7 encodeurs vont directement au Pico ; un MCP23017 gère la matrice et six poussoirs."
"Multimètre digital MT01","Outils","1","À confirmer","Continuité + tension DC ; auto-range, rechargeable USB","","https://www.gotronic.fr/art-multimetre-digital-mt01-39809.htm","Nécessaire si Arthur n’en possède pas : court-circuit 3V3↔GND et diagnostic des soudures."
"Kit breadboard SD80A — 840 contacts + jumpers","Prototype","1","À acheter","840 contacts + 65 jumpers, alimentation 3,3 / 5 V incluse","9.5","https://www.gotronic.fr/art-kit-plaque-de-montage-sd80a-25864.htm","Tests OLED, encodeur et switch avant soudure. Ne jamais raccorder son 5 V à la Teensy déjà alimentée en USB."
"Coque PETG noire AKOR_01 V1 Rev A","Boîtier","1","Plus tard","Coque monobloc 128 × 138 × 30 mm, PETG noir, STL/3MF/SCAD, impression sans supports sur A1 mini","","","ARCHIVE — coque conçue pour l’ancienne version handwired à 3 encodeurs/platine Kitronik. Ne pas fabriquer pour la V0 actuelle à 7 encodeurs et PCB custom."
"Pieds antidérapants Ø8–10 mm","Boîtier","4","À acheter","Pieds caoutchouc ou silicone autocollants Ø8–10 mm","","","À poser sous la coque après le contrôle final."
